Movie title,Year,Category
Rain Man,1988,Best Director
Dangerous Liaisons,1988,Best Adapted Screenplay
Mississippi Burning,1988,Best Cinematography (Color)
Who Framed Roger Rabbit,1988,Best Film Editing
Driving Miss Daisy,1989,Best Picture
My Left Foot,1989,Best Actor
Driving Miss Daisy,1989,Best Actress
Glory,1989,Best Supporting Actor
My Left Foot,1989,Best Supporting Actress
Born on the Fourth of July,1989,Best Director
Driving Miss Daisy,1989,Best Adapted Screenplay
Glory,1989,Best Cinematography (Color)
Born on the Fourth of July,1989,Best Film Editing
Dances with Wolves,1990,Best Picture
Reversal of Fortune,1990,Best Actor
Misery,1990,Best Actress
Goodfellas,1990,Best Supporting Actor
Ghost,1990,Best Supporting Actress
Dances with Wolves,1990,Best Director
Dances with Wolves,1990,Best Adapted Screenplay
Dances with Wolves,1990,Best Cinematography (Color)
Dances with Wolves,1990,Best Film Editing
The Silence of the Lambs,1991,Best Picture
The Silence of the Lambs,1991,Best Actor
The Silence of the Lambs,1991,Best Actress
City Slickers,1991,Best Supporting Actor
The Fisher King,1991,Best Supporting Actress
The Silence of the Lambs,1991,Best Director
The Silence of the Lambs,1991,Best Adapted Screenplay
JFK,1991,Best Cinematography (Color)
JFK,1991,Best Film Editing
Unforgiven,1992,Best Picture
Scent of a Woman,1992,Best Actor
Howard's End,1992,Best Actress
Unforgiven,1992,Best Supporting Actor
My Cousin Vinny,1992,Best Supporting Actress
Unforgiven,1992,Best Director
Howard's End,1992,Best Adapted Screenplay
A River Runs Through It,1992,Best Cinematography (Color)
Unforgiven,1992,Best Film Editing
Schindler's List,1993,Best Picture
Philadelphia,1993,Best Actor
The Piano,1993,Best Actress
The Fugitive,1993,Best Supporting Actor
The Piano,1993,Best Supporting Actress
Schindler's List,1993,Best Director
Schindler's List,1993,Best Adapted Screenplay
Schindler's List,1993,Best Cinematography (Color)
Schindler's List,1993,Best Film Editing
Forrest Gump,1994,Best Picture
Forrest Gump,1994,Best Actor
Blue Sky,1994,Best Actress
Ed Wood,1994,Best Supporting Actor
Bullets Over Broadway,1994,Best Supporting Actress
Forrest Gump,1994,Best Director
Forrest Gump,1994,Best Adapted Screenplay
Legends of the Fall,1994,Best Cinematography (Color)
Forrest Gump,1994,Best Film Editing
Braveheart,1995,Best Picture
Leaving Las Vegas,1995,Best Actor
Dead Man Walking,1995,Best Actress
The Usual Suspects,1995,Best Supporting Actor
Mighty Aphrodite,1995,Best Supporting Actress
Braveheart,1995,Best Director
Sense and Sensibility,1995,Best Adapted Screenplay
Braveheart,1995,Best Cinematography (Color)
Apollo 13,1995,Best Film Editing
The English Patient,1996,Best Picture
Shine,1996,Best Actor
Fargo,1996,Best Actress
Jerry Maguire,1996,Best Supporting Actor
The English Patient,1996,Best Supporting Actress
The English Patient,1996,Best Director
Sling Blade,1996,Best Adapted Screenplay
The English Patient,1996,Best Cinematography (Color)
The English Patient,1996,Best Film Editing
Titanic,1997,Best Picture
As Good as It Gets,1997,Best Actor
As Good as It Gets,1997,Best Actress
Good Will Hunting,1997,Best Supporting Actor
L.A. Confidential,1997,Best Supporting Actress
Titanic,1997,Best Director
L.A. Confidential,1997,Best Adapted Screenplay
Titanic,1997,Best Cinematography (Color)
Titanic,1997,Best Film Editing
Shakespeare in Love,1998,Best Picture
Life is Beautiful,1998,Best Actor
Shakespeare in Love,1998,Best Actress
Affliction,1998,Best Supporting Actor
Shakespeare in Love,1998,Best Supporting Actress
Saving Private Ryan,1998,Best Director
Gods and Monsters,1998,Best Adapted Screenplay
Saving Private Ryan,1998,Best Cinematography (Color)
Saving Private Ryan,1998,Best Film Editing
American Beauty,1999,Best Picture
American Beauty,1999,Best Actor
Boys Don't Cry,1999,Best Actress
The Cider House Rules,1999,Best Supporting Actor
"Girl, Interrupted",1999,Best Supporting Actress
American Beauty,1999,Best Director
The Cider House Rules,1999,Best Adapted Screenplay
American Beauty,1999,Best Cinematography (Color)
The Matrix,1999,Best Film Editing
Gladiator,2000,Best Picture
Gladiator,2000,Best Actor
Erin Brockovich,2000,Best Actress
Traffic,2000,Best Supporting Actor
Pollock,2000,Best Supporting Actress
Traffic,2000,Best Director
Traffic,2000,Best Adapted Screenplay
"Crouching Tiger, Hidden Dragon",2000,Best Cinematography (Color)
Traffic,2000,Best Film Editing
A Beautiful Mind,2001,Best Picture
Training Day,2001,Best Actor
Monster's Ball,2001,Best Actress
Iris,2001,Best Supporting Actor
A Beautiful Mind,2001,Best Supporting Actress
A Beautiful Mind,2001,Best Director
A Beautiful Mind,2001,Best Adapted Screenplay
Shrek,2001,Best Animated Feature
The Lord of the Rings: The Fellowship of the Ring,2001,Best Cinematography (Color)
Black Hawk Down,2001,Best Film Editing
Chicago,2002,Best Picture
The Pianist,2002,Best Actor
The Hours,2002,Best Actress
Adaptation,2002,Best Supporting Actor
Chicago,2002,Best Supporting Actress
