Title
Die Another Day
Die Hard
Die Hard 2
Die Hard with a Vengeance
Disappearing Acts
Doctor Sleep
Doctor Strange
Doctor Strange in the Multiverse of Madness
Don Jon
Don't Be a Menace to South Central While Drinking Your Juice in the Hood
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb
Drag Me to Hell
Duel
Dumbo
Dune
Dungeons & Dragons
Dungeons & Dragons: Honor Among Thieves
Dunkirk
E.T. the Extra-Terrestrial
Eat Drink Man Woman
Eclipse
Ed Wood
Edward Scissorhands
The Elephant Man
Elizabethtown
Elle
Elvis
Empire of the Sun
"The Empire Strikes Back
See Star Wars Episode V: The Empire Strikes Back"
The Empty Man
Eraserhead
"The Escape Clause
See The Santa Clause 3: The Escape Clause"
Escape from L.A.
Escape from New York
Escape from the Planet of the Apes
Evil Dead
The Evil Dead
Evil Dead II
Evita
Eyes Wide Shut
F9: The Fast Saga

The Fabelmans
"Family Dog
(Amazing Stories)"
The Fantastic Four
Fast Times at Ridgemont High
Fear & Desire
Ferrari
Fight Club
Fighting Mad
"The Final Frontier
See Star Trek V: The Final Frontier"
Flesh + Blood
Fletch
Flight
The Fog
Following
For Love of the Game
For Your Eyes Only
"The Force Awakens
See Star Wars Episode VII: The Force Awakens"
"Forky Asks a Question
(Toy Story Toons)"
Forrest Gump
Four Brothers
Frankenweenie
Full Metal Jacket
Furiosa: A Mad Max Saga
The Game
"The Gas Station
See Body Bags"
Gemini Man
The General
"Ghost Train
(Amazing Stories)"
Ghostbusters
Ghostbusters II
Ghostbusters: Afterlife
Ghostbusters: Answer the Call
Ghosts of Mars
Ghosts of the Abyss
The Gift
Gigli
The Girl with the Dragon Tattoo
Glass
Go West
Going in Style
GoldenEye
Gone Girl
Goodrich
The Great Mouse Detective
Guardians of the Galaxy
Guardians of the Galaxy Vol. 2
"Hair
See Body Bags"
Halloween
The Handmaiden
Hanging Up
The Happening
Happy Feet
Happy Feet Two
"Hawaiian Vacation
(Toy Story Toons)"
The Heartbreak Kid
Heat
Hercules
Here
"The High Sign
(Buster Keaton Shorts)"
Higher Learning
"The Hire
See Chosen - The Hire"
The Holiday
Hollow Man
Holy Smoke!
Home Again
Hook
Horizon: An American Saga - Chapter 1
The Host
Hot Dogs for Gauguin
Hot Tomorrows
Hotel Transylvania 1
Hotel Transylvania 2
Hotel Transylvania 3: Summer Vacation
How Do You Know
Howl's Moving Castle
Hulk
The Hunt for Red October
The Hurt Locker
I Could Never Be Your Woman
I Love You to Death
I Wanna Hold Your Hand
I'll Do Anything

"I'm a Cyborg, But That's OK"
The Ice Storm
In the Cut
In the Mouth of Madness
Inception
The Incredible Hulk
Incredibles 2
The Incredibles
Indiana Jones and the Kingdom of the Crystal Skull
Indiana Jones and the Last Crusade
Indiana Jones and the Temple of Doom
Inland Empire
The Insider
Insomnia
The Intern
Interstellar
The Iron Giant
Iron Man
Iron Man 2
Iron Man 3
Ishtar
It's Complicated
Jack Reacher: Never Go Back
James and the Giant Peach
Jaws
The Jericho Mile
Jerry Maguire
Jesus Christ Superstar
Joe Dirt
Johnny Dangerously
Joint Security Area
Joker
Joker: Folie à Deux
Josie and the Pussycats
The Judge
Julie & Julia
Jupiter Ascending
Jurassic Park
Justice League
Justin Timberlake + The Tennessee Kids
K-19: The Widowmaker
The Keep
"Kick the Can
See Twilight Zone: The Movie"
Kiki's Delivery Service
The Killer
Killer's Kiss
The Killing
King Ralph
The Kingdom of Dreams and Madness
Knock at the Cabin
Koyaanisqatsi
"L.A. 2017
(The Name of the Game)"
Lady in the Water
"Lady Vengeance
See Sympathy for Lady Vengeance"
Last Action Hero
The Last Airbender
Last Embrace
"The Last Jedi
See Star Wars Episode VIII: The Last Jedi"
The Last of the Mohicans
The Lego Batman Movie
Lenny
A Life Less Ordinary
Life of Pi
Lincoln
The Lion King
The Little Drummer Girl
The Little Mermaid
Live and Let Die
Liza with a Z
Lolita
Look Who's Talking
Look Who's Talking Too
Look Who's Talking Now
Lorenzo's Oil
Loser
Lost Highway
Lost in Space
The Lost World: Jurassic Park
Love & Basketball
The Love Guru
The Loveless
Lucky Numbers
"Lupin III: The Castle of Cagliostro
See Castle of Cagliostro"
"Lust, Caution"
Mad Max
Mad Max 2 (The Road Warrior)
Mad Max Beyond Thunderdome
Mad Max: Fury Road
Maestro
Man of Steel
The Man Who Knew Too Little
The Man with the Golden Gun
The Manchurian Candidate
Manhunter
Mank
"Make Me Laugh
(Night Gallery)"
Married to the Mob
Mars Attacks!
A Master Builder
The Matrix

The Matrix Reloaded

The Matrix Resurrections

The Matrix Revolutions

Medicine Man
Meet Joe Black
Melvin and Howard
Memento
Memoirs of an Invisible Man
Men in Black
Men in Black: International
Men in Black 3
Men in Black II
Miami Vice
"Miami Vice
(TV pilot episode)"
Michael
Mickey Blue Eyes
Midnight Run
Mikey and Nicky
Millennium Actress
Millions
Minority Report
The Mirror Has Two Faces
Miss Peregrine's Home for Peculiar Children
"The Mission
(Amazing Stories)"
Mission: Impossible
Mission: Impossible - Dead Reckoning Part One
Mission: Impossible - Fallout
Mission: Impossible - The Final Reckoning
Mission: Impossible - Ghost Protocol

Mission: Impossible - Rogue Nation
Mission: Impossible 2
Mission: Impossible 3
Mixed Nuts
Moana
Monkeybone
The Moon Is...the Sun's Dream
Moonraker
Mulholland Drive
The Mummy
The Mummy
The Mummy Returns
The Mummy: Tomb of the Dragon Emperor
Munich
"Murder at 20,000 Feet
See Twilight Zone: The Movie"
"Murder by the Book
(Columbo)"
My Neighbor Totoro
Naqoyqatsi
National Lampoon's European Vacation
National Treasure
National Treasure: Book of Secrets
Nausicaa of the Valley of the Wind
The Navigator
Near Dark
"A New Hope
See Star Wars Episode IV: A New Hope"
A New Leaf
New Moon
"Night Gallery
(Segment - Eyes)"
The Nightmare Before Christmas
Nomads
Ocean's 8
Ocean's 11
Ocean's Eleven
Ocean's Thirteen
Ocean's Twelve
Octopussy
Old
Old Dogs
The Old Guard
Oldboy
"Ömer the Tourist in Star Trek
See Turkish Star Trek"
"One Week
(Buster Keaton Shorts)"
Open Range
Oppenheimer
Ouija
Ouija: Origin of Evil
Our Hospitality
Oz the Great and Powerful
Panic Room
Paprika
Paranoia Agent
The Parent Trap
"Partysaurus Rex
(Toy Story Toons)"
Paths of Glory
Pee-wee's Big Adventure
Perfect Blue
"The Phantom Menace
See Star Wars Episode I: The Phantom Menace"
The Phantom of the Opera
Philadelphia
The Piano
Pinocchio
Piranha II: The Spawning
Pitch Black
Planet of the Apes
Planet of the Apes
"The Playhouse
(Buster Keaton Shorts)"
Poetic Justice
Point Break
Pokémon: Detective Pikachu
The Polar Express
Ponyo
Porco Rosso
The Portrait of a Lady
The Post
The Postman
Powaqqatsi
The Power of the Dog
Praying With Anger
Predator
The Prestige
Prince of Darkness
The Prince of Tides
The Princess and the Frog
Princess Mononoke
Prometheus
Public Enemies
Pushing Hands
The Quick and the Dead
Rachel Getting Married
Raiders of the Lost Ark
Ralph Breaks the Internet
Ratatouille
Ready Player One
The Return of Jafar
"Return of the Jedi
See Star Wars Episode VI: Return of the Jedi"
"Revenge of the Sith
See Star Wars Episode III: Revenge of the Sith"
Ricki and the Flash
Riddick
Ride with the Devil
"The Rise of Skywalker
See Star Wars Episode IX: The Rise of Skywalker"
Roadies
RoboCop
Rogue One: A Star Wars Story

Rollerball
Romancing the Stone
Rosewood
Running Scared
The Santa Clause
The Santa Clause 2
The Santa Clause 3: The Escape Clause
Savage
Saving Private Ryan
Say Anything…
Scent of a Woman
Schindler's List
The Scorpion King
"The Search for Spock
See Star Trek III: The Search for Spock"
The Secret Life of Bees
Sense and Sensibility
Sense8
Se7en
Seven Chances
Shaft
Shallow Grave
Sherlock Jr.
The Shining
Showgirls
Signs
The Silence of the Lambs
A Simple Plan
Sin Eater: The Crimes of Anthony Pellicano
Singles
The Sixth Sense
Sleepless in Seattle
Sleepy Hollow
Slumdog Millionaire
"Small Fry
(Toy Story Toons)"
The Social Network
Solo: A Star Wars Story

Someone's Watching Me!
Something Evil
Something Wild
Something's Gotta Give
Space Jam
Space Jam: A New Legacy
Spanglish
Spartacus
"The Spawning
See Piranha II: The Spawning"
Speed Racer
Spider-Man
Spider-Man 2
Spider-Man 3
Spider-Man: Far From Home
Spider-Man: Homecoming
Spirited Away
Spite Marriage
Split
The Spy Who Loved Me
Star 80
A Star Is Born (1976)
A Star Is Born (2018)
Star Trek Generations
Star Trek: First Contact
Star Trek: Insurrection
Star Trek: Nemesis
Star Trek II: The Wrath of Khan
Star Trek III: The Search for Spock
Star Trek IV: The Voyage Home
Star Trek V: The Final Frontier
Star Trek VI: The Undiscovered Country
Star Trek: The Motion Picture
Star Wars Episode I: The Phantom Menace


Star Wars Episode II: Attack of the Clones

Star Wars Episode III: Revenge of the Sith

Star Wars Episode IV: A New Hope

Star Wars Episode IX: The Rise of Skywalker

Star Wars Episode V: The Empire Strikes Back

Star Wars Episode VI: Return of the Jedi

Star Wars Episode VII: The Force Awakens


Star Wars Episode VIII: The Last Jedi

The Star Wars Holiday Special
Stargate
Starman
Starship Troopers
"Steamboat Bill, Jr."
Steve Jobs
Stoker
Stop Making Sense
The Straight Story
Strange Days
Street Fighter
The Sugarland Express
Suicide Squad
Sully
Sunshine
Superman
Superman II
Superman III
Superman IV: The Quest for Peace
Superman Returns
Superman
Sweeney Todd: The Demon Barber of Fleet Street
Sweet Charity
Sweetie
Swimming to Cambodia
Swing Shift
Sympathy for Lady Vengeance
Sympathy for Mr. Vengeance
T2 Trainspotting
T2-3D: Battle Across Time
Taking Woodstock
Teenage Mutant Ninja Turtles
Teenage Mutant Ninja Turtles
Teenage Mutant Ninja Turtles: Mutant Mayhem
Teenage Mutant Ninja Turtles: Out of the Shadows
Teenage Mutant Ninja Turtles II: The Secret of the Ooze
Teenage Mutant Ninja Turtles III
Tenet
The Terminal
The Terminator

Terminator: Dark Fate
Terminator 2: Judgment Day

Terminator 3: Rise of the Machines
Terminator Genisys
Terminator Salvation
Terms of Endearment
They Live!
Thief
The Thing
Thirst
This Is My Life
The Thomas Crown Affair
Thor
Thor: Ragnarok
Thor: The Dark World
Three Ages
Three Thousand Years of Longing
THX1138
Titanic

TMNT
Tokyo Godfathers
Tomorrow Never Dies
Tomorrowland
Total Recall
Toy Story
Toy Story 2
Toy Story 3
Toy Story 4
"Toy Story of Terror!
(Toy Story Toons)"
"Toy Story That Time Forgot
(Toy Story Toons)"
Trainspotting
Trance
Trap
Treasure Planet
Trio
True Lies
The Truth About Charlie
"Turist Ömer Uzay Yolunda
See Turkish Star Trek"
Turkish Star Trek
Twilight
Twilight Zone: The Movie

Twin Peaks (Season 1)
Twin Peaks (Season 2)
Twin Peaks: Fire Walk With Me
Twin Peaks: The Return
Two Friends
Unbreakable
Under Siege 2: Dark Territory
"The Undiscovered Country
See Star Trek VI: The Undiscovered Country"
Used Cars
Vampires
Vanilla Sky
A View to a Kill
The Village
Village of the Damned
The Visit
"The Voyage Home
See Star Trek IV: The Voyage Home"
The Walk

War Horse
War of the Worlds
The Ward
Waterworld
The Way of the Gun
We Bought a Zoo
The Wedding Banquet
The Weight of Water
Welcome to Marwen
Wendell & Wild
West Side Story
What Lies Beneath
What Men Want
What Women Want
When Harry Met Sally…
Whisper of the Heart
Who Framed Roger Rabbit
Wide Awake
Wild at Heart
The Wind Rises
The Witches
The Witches of Eastwick
The Woman King
Wonder Woman
Wonder Woman 1984
Wonka
The World is Not Enough
"The Wrath of Khan
See Star Trek II: The Wrath of Khan"
"Yellow
(Tales from the Crypt)"
Yentl
Yesterday
"You, Murderer
(Tales from the Crypt)"
You've Got Mail
Zero Dark Thirty
Zodiac
