Movie Title,Year,Genre,tmdb_id
Under the Skin,2013,Thriller;Science Fiction;Drama,97370
Let the Right One In,2008,Horror;Drama,13310
Ocean's Eleven,2001,Thriller;Crime,161
Carol,2015,Romance;Drama,258480
Ratatouille,2007,Animation;Comedy;Family;Fantasy,2062
The Florida Project,2017,Drama,394117
Amour,2012,Drama;Romance,86837
"O Brother, Where Art Thou?",2000,Adventure;Comedy;Crime,134
Everything Everywhere All at Once,2022,Action;Adventure;Science Fiction,545611
Aftersun,2022,Drama,965150
The Tree of Life,2011,Drama;Fantasy,8967
Volver,2006,Comedy;Drama;Romance,219
Black Swan,2010,Drama;Thriller;Horror,44214
The Act of Killing,2012,Documentary,123678
Inside Llewyn Davis,2013,Drama;Music,86829
Melancholia,2011,Drama;Science Fiction,62215
Anchorman: The Legend of Ron Burgundy,2004,Comedy,8699
Past Lives,2023,Drama;Romance,666277
The Lord of the Rings: The Fellowship of the Ring,2001,Adventure;Fantasy;Action,120
The Gleaners and I,2000,Documentary,44379
Interstellar,2014,Adventure;Drama;Science Fiction,157336
Frances Ha,2012,Comedy;Drama,121986
Fish Tank,2009,Drama,24469
Gladiator,2000,Action;Drama;Adventure,98
Michael Clayton,2007,Drama;Thriller;Crime,4566
Minority Report,2002,Science Fiction;Action;Thriller,180
The Worst Person in the World,2021,Drama;Romance;Comedy,660120
Black Panther,2018,Action;Adventure;Science Fiction,284054
Gravity,2013,Science Fiction;Thriller;Drama,49047
Grizzly Man,2005,Music;Documentary,288430
Memories of Murder,2003,Crime;Drama;Thriller,11423
Superbad,2007,Comedy,8363
Zach Domes,,,
The Lord of the Rings: The Return of the King,2003,Adventure;Fantasy;Action,122
La La Land,2016,Comedy;Drama;Romance;Music,313369
Dune: Part Two,2024,Science Fiction;Adventure,693134
Spider-Man: Into the Spider-Verse,2018,Animation;Action;Adventure;Science Fiction,324857
The Lord of the Rings: The Two Towers,2002,Adventure;Fantasy;Action,121
Pride & Prejudice,2005,Drama;Romance,4348
Sinners,,Horror;Action;Thriller,1233413
Django Unchained,2012,Drama;Western,68718
Little Women,2019,Drama;Romance;History,331482
Hereditary,2018,Horror;Mystery;Thriller,493922
Blade Runner 2049,2017,Science Fiction;Drama,335984
Fantastic Mr. Fox,2009,Adventure;Animation;Comedy;Family,10315
The Handmaiden,2016,Thriller;Drama;Romance,290098
The Prestige,2006,Drama;Mystery;Science Fiction,1124
Mean Girls,2004,Drama;Comedy,10625
Perfect Days,2023,Drama,976893
Barbie,2023,Comedy;Adventure,346698
Dune,2021,Science Fiction;Adventure,438631
Top Gun: Maverick,2022,Action;Drama,361743
Drive My Car,2021,Drama,758866
Knives Out,2019,Comedy;Crime;Mystery,546554
The Incredibles,2004,Action;Adventure;Animation;Family,9806
Killers of the Flower Moon,2023,Crime;History;Drama,466420
Howl's Moving Castle,2004,Fantasy;Animation;Adventure,4935
The Lighthouse,2019,Drama;Fantasy;Thriller,503919
The Holdovers,2023,Comedy;Drama,840430
Midsommar,2019,Horror;Drama;Mystery,530385
The Shawshank Redemption,1994,Drama;Crime,278
The Godfather,1972,Drama;Crime,238
The Godfather: Part II,1974,Drama;Crime,240
12 Angry Men,1957,Drama,389
Schindler's List,1993,Drama;History;War,424
Pulp Fiction,1994,Thriller;Crime;Comedy,680
"Il buono, il brutto, il cattivo",1966,Western,429
Fight Club,1999,Drama,550
Forrest Gump,1994,Comedy;Drama;Romance,13
Star Wars: Episode V - The Empire Strikes Back,1980,Adventure;Action;Science Fiction,1891
One Flew Over the Cuckoo's Nest,1975,Drama,510
Goodfellas,1990,Drama;Crime,769
The Matrix,1999,Action;Science Fiction,603
Shichinin no samurai,1954,Action;Drama,346
Cidade de Deus,2002,Drama;Crime,598
Se7en,1995,Crime;Mystery;Thriller,807
Star Wars,1977,Adventure;Action;Science Fiction,11
The Silence of the Lambs,1991,Crime;Drama;Thriller,274
It's a Wonderful Life,1946,Drama;Family;Fantasy,1585
La vita è bella,1997,Comedy;Drama,637
The Usual Suspects,1995,Drama;Crime;Thriller,629
Sen to Chihiro no kamikakushi,2001,Animation;Family;Fantasy,129
Saving Private Ryan,1998,Drama;History;War,857
Léon,1994,Crime;Drama;Action,101
The Green Mile,1999,Fantasy;Drama;Crime,497
Psycho,1960,Horror;Thriller;Mystery,539
American History X,1998,Drama,73
City Lights,1931,Comedy;Drama;Romance,901
C'era una volta il West,1968,Drama;Western,335
Casablanca,1942,Drama;Romance,289
Modern Times,1936,Comedy;Drama;Romance,3082
The Pianist,2002,Drama;War,423
Intouchables,2011,Drama;Comedy,77338
Terminator 2: Judgment Day,1991,Action;Thriller;Science Fiction,280
Back to the Future,1985,Adventure;Comedy;Science Fiction,105
Rear Window,1954,Thriller;Mystery,567
Raiders of the Lost Ark,1981,Adventure;Action,85
The Lion King,1994,Family;Animation;Drama,8587
Apocalypse Now,1979,Drama;War,28
Alien,1979,Horror;Science Fiction,348
The Great Dictator,1940,Comedy;War,914
Nuovo Cinema Paradiso,1988,Drama;Romance,11216
Hotaru no haka,1988,Animation;Drama;War,12477
